date,name,balance,category
2025-08-06,SOZO SUSHI,48.73,Dining
2025-08-05,LES TROPIQUES,13.46,Dining
2025-08-04,LS Ambrose House and C,5.75,Dining
2025-08-03,WALMART.CA,125.55,Groceries
2025-08-03,GYMSHARK,132.67,Shopping
2025-08-02,UBER CANADA/UBEREATS,36.15,Dining
2025-08-01,SECURITY NATIONAL INSU,487.23,Insurance
2025-08-01,SAQ23345 GALERIES DU PAR,18.35,Groceries
2025-08-01,MARCHE EDEN,16.77,Groceries
2025-07-31,CALISTHENICS GYM MTL,25.29,Subscriptions
2025-07-30,UBER CANADA/UBERTRIP,31.68,Transport
2025-07-30,Amazon.ca*UZ8D61PI3,28.72,Groceries
2025-07-30,PHARMAPRIX #0029,39.06,Health
2025-07-30,CHAUSSURE RAPHAEL,160,Shopping
2025-07-30,UBER CANADA/UBERTRIP,32.41,Transport
2025-07-30,STM PEEL DIO101/123431,34.25,Transport
2025-07-29,WWW.ENSOYOGA.COM,6.9,Subscriptions
2025-07-29,AMZN Mktp CA*117MI3EO3,57.42,Shopping
2025-07-29,WWW.ENSOYOGA.COM,3.45,Subscriptions
2025-07-29,CAFE PARVIS,32.59,Dining
2025-07-29,MELK STANLEY,22.59,Dining
2025-07-28,SP CAFE DRIVE BY,12.65,Dining
2025-07-28,UN INSTANT EN PROVENCE,23.35,Dining
2025-07-28,Ginos Negroni Et Lasa,48.69,Dining
2025-07-28,STM PEEL DIO101/157183,7,Transport
2025-07-28,LE GARDEN ROOM,102.39,Dining
2025-07-27,VACHE GLACEE,12.08,Dining
2025-07-27,LS EVA St Henri,54.44,Dining
2025-07-27,CAFE LE NIGIRIZ,5.18,Dining
2025-07-27,CAFE LE NIGIRIZ,15.53,Dining
2025-07-27,SP DE STIIL,23.1,Shopping
2025-07-26,EPLV - BILLETTERIE JAR,23.25,Entertainment
2025-07-26,CAFE LE NIGIRIZ,18.4,Dining
2025-07-26,ICHIGO ICHIE,115.68,Dining
2025-07-26,STM PEEL DIO101/327922,7,Transport
2025-07-25,WWW.ENSOYOGA.COM,21.27,Subscriptions
2025-07-25,SQ *STUDIO JENJEN,187.46,Beauty
2025-07-25,CAFE LE NIGIRIZ,10.35,Dining
2025-07-24,PHARMAPRIX #0029,18.14,Health
2025-07-24,ARITZIA ST CATHERINE 1,43.69,Shopping
2025-07-24,STM LIONEL GROUL DIN10,3.75,Transport
2025-07-24,Savsav,22.71,Dining
2025-07-24,STM PEEL DIO101/261830,7,Transport
2025-07-24,STM LIONEL GROUL DAN101,34.25,Transport
2025-07-24,EPLV - BILLETERIE WEB,23.25,Entertainment
2025-07-23,CAFE LE NIGIRIZ,18.98,Dining
2025-07-23,ICONO GLACE,23.22,Dining
2025-07-23,POLE AND AERIAL SCHOOL,125.32,Subscriptions
2025-07-23,POLE AND AERIAL SCHOOL,25.29,Subscriptions
2025-07-22,LS Sandwicherie Sue -,22.13,Dining
2025-07-21,STM MONT ROYAL N102,3.75,Transport
2025-07-21,WALMART.CA,163.19,Groceries
2025-07-21,LS Marusan Canada Inc,13.8,Dining
2025-07-21,LS Marusan Canada Inc,33.34,Dining
2025-07-21,MST,15.95,Others
2025-07-21,MAISON SAUVAGE CAFE,20.13,Dining
2025-07-21,LIBRAIRIE DRAWN & QUAR,48.29,Shopping
2025-07-21,STM LOGE ST LAURENT N101,7,Transport
2025-07-21,LA BANQUISE,34.72,Dining
2025-07-20,CAFE REDWOOD,38.56,Dining
2025-07-20,WALMART.CA,101.4,Groceries
2025-07-20,STM LIONEL GROUL DIN10,3.75,Transport
2025-07-20,STM LOGE PEEL O101,7.5,Transport
2025-07-20,STM MCGILL DAO101,34.25,Transport
2025-07-19,MCGILL ATHLETICS RECR,74.72,Subscriptions
2025-07-19,SQ *CYBER VINTAGE,34.49,Shopping
2025-07-18,PHARMAPRIX #1937,34.48,Health
2025-07-18,PHARMAPRIX #1937,25.84,Health
2025-07-18,Dynamite,23,Shopping
2025-07-18,HM CA0012,17.41,Shopping
2025-07-18,LS Ambrose House and C,5.75,Dining
2025-07-17,STM SAINT LAUREN DIN10,3.75,Transport
2025-07-17,AMZN Mktp CA*0Q6DK4VV3,125.35,Shopping
2025-07-17,MARCELLA,115.69,Dining
2025-07-15,UBER CANADA/UBERTRIP,35.43,Transport
2025-07-15,AMZN Mktp CA*AK2W807K3,39.08,Shopping
2025-07-15,WALMART.CA,2.85,Groceries
2025-07-15,CAFE LE NIGIRIZ,5.75,Dining
2025-07-14,AIR CAN* 0144291447449,36.75,Dining
2025-07-13,CPA - PAY MACHINE,2,Transport
2025-07-13,SQ *BONO COFFEE STEPHEN A,5.88,Dining
2025-07-13,SQ *HIDDEN CORNER,10.5,Dining
2025-07-13,CALGARY TRANSIT,3.8,Transport
2025-07-11,BIG FOUR ROADHOUSE,14,Dining
2025-07-11,CALGARY TRANSIT,3.8,Transport
2025-07-10,CALGARY TRANSIT,3.8,Transport
2025-07-10,BIG FOUR ROADHOUSE,11.5,Dining
2025-07-10,TST-Neighbour Coffee,8.14,Dining
2025-07-09,CALGARY TRANSIT,3.8,Transport
2025-07-09,SQ *NORTH AMERICAN MIDWAY,15,Dining
2025-07-09,CALGARY TRANSIT,2.55,Transport
2025-07-08,LIQUOR DROPS,21.36,Dining
2025-07-08,TST-Neighbour Coffee,8.14,Dining
2025-07-08,CALGARY TRANSIT,3.8,Transport
2025-07-08,CALGARY TRANSIT,2.55,Transport
2025-07-07,WESTSIDE RECREATION CENTR,18,Subscriptions
2025-07-07,17TH AVE THRIFT,8.4,Shopping
2025-07-07,REAL CDN SUPERSTORE #1,36.17,Groceries
